ram,cores,workload_cpu,workload_gpu,users_yolo,users_mnet,time_yolo,time_mnet
3000,2,40,125.0,1,1,4.006053924560547,6.848400354385376
3000,2,40,263.0,1,1,4.425929069519043,7.084205389022827
3000,2,40,491.0,1,1,4.2894227504730225,8.135501623153687
3000,2,40,815.0,1,1,4.196218729019165,7.375137567520142
3000,2,50,125.0,1,1,3.9667298793792725,7.0108888149261475
3000,2,50,263.0,1,1,4.197406530380249,7.303664684295654
3000,2,50,491.0,1,1,4.622135162353516,7.55351185798645
3000,2,50,815.0,1,1,4.481263160705566,8.544288396835327
3000,2,60,125.0,1,1,3.9265286922454834,6.880787134170532
3000,2,60,263.0,1,1,5.171207666397095,8.335062980651855
3000,2,60,491.0,1,1,4.297913312911987,7.885124444961548
3000,2,60,815.0,1,1,4.269920110702515,7.51848578453064
3000,3,40,125.0,1,1,3.2838640213012695,5.7879958152771
3000,3,40,263.0,1,1,3.6271140575408936,6.193617582321167
3000,3,40,491.0,1,1,3.5064401626586914,6.610385894775391
3000,3,40,815.0,1,1,3.556485414505005,6.7098166942596436
3000,3,50,125.0,1,1,2.903999090194702,5.704147815704346
3000,3,50,263.0,1,1,3.5339980125427246,6.532021999359131
3000,3,50,491.0,1,1,3.7222964763641357,6.370659112930298
3000,3,50,815.0,1,1,3.3839383125305176,6.667361259460449
3000,3,60,125.0,1,1,3.165653944015503,5.8680336475372314
3000,3,60,263.0,1,1,3.7420949935913086,6.720775127410889
3000,3,60,491.0,1,1,3.755645513534546,6.7833123207092285
3000,3,60,815.0,1,1,3.4341611862182617,6.7926390171051025
3000,4,40,125.0,1,1,2.877293109893799,5.5785839557647705
3000,4,40,263.0,1,1,3.2578542232513428,5.730248928070068
3000,4,40,491.0,1,1,3.0941123962402344,6.238422155380249
3000,4,40,815.0,1,1,3.2578868865966797,5.796419620513916
3000,4,50,125.0,1,1,3.0070748329162598,5.724233388900757
3000,4,50,263.0,1,1,3.2601499557495117,6.034884214401245
3000,4,50,491.0,1,1,3.189103603363037,5.898287296295166
3000,4,50,815.0,1,1,3.1930909156799316,6.447777271270752
3000,4,60,125.0,1,1,3.2775673866271973,5.481257677078247
3000,4,60,263.0,1,1,3.3543741703033447,6.2270050048828125
3000,4,60,491.0,1,1,3.274024486541748,6.3296825885772705
3000,4,60,815.0,1,1,3.412961483001709,6.351344347000122
3000,5,40,125.0,1,1,2.6860191822052,5.351425409317017
3000,5,40,263.0,1,1,3.137014627456665,5.569305419921875
3000,5,40,491.0,1,1,2.831380844116211,6.289082288742065
3000,5,40,815.0,1,1,3.0410778522491455,5.854665994644165
3000,5,50,125.0,1,1,2.7663018703460693,5.453129768371582
3000,5,50,263.0,1,1,3.0769028663635254,5.725228309631348
3000,5,50,491.0,1,1,2.968156576156616,6.171358823776245
3000,5,50,815.0,1,1,3.1936399936676025,5.944884777069092
3000,5,60,125.0,1,1,2.8410403728485107,5.75138258934021
3000,5,60,263.0,1,1,3.2261576652526855,5.792787790298462
3000,5,60,491.0,1,1,3.2617881298065186,5.993916749954224
3000,5,60,815.0,1,1,3.1136035919189453,5.906044006347656
5000,2,40,125.0,1,1,4.495920896530151,6.8947296142578125
5000,2,40,263.0,1,1,4.595023155212402,7.3205039501190186
5000,2,40,491.0,1,1,4.8965513706207275,8.352495908737183
5000,2,40,815.0,1,1,4.394342660903931,7.57422947883606
5000,2,50,125.0,1,1,4.070621967315674,7.118490219116211
5000,2,50,263.0,1,1,4.401858806610107,7.870990753173828
5000,2,50,491.0,1,1,4.389758110046387,7.653767108917236
5000,2,50,815.0,1,1,4.340703010559082,8.062115907669067
5000,2,60,125.0,1,1,4.6038641929626465,6.982611894607544
5000,2,60,263.0,1,1,4.930578947067261,7.4839088916778564
5000,2,60,491.0,1,1,4.626439571380615,7.9873738288879395
5000,2,60,815.0,1,1,5.000718355178833,7.774057626724243
5000,3,40,125.0,1,1,2.809337854385376,5.664459466934204
5000,3,40,263.0,1,1,3.5267794132232666,6.122450828552246
5000,3,40,491.0,1,1,3.1950175762176514,6.144374847412109
5000,3,40,815.0,1,1,3.6890172958374023,6.738325595855713
5000,3,50,125.0,1,1,3.1598777770996094,5.88636326789856
5000,3,50,263.0,1,1,3.6751773357391357,6.286830902099609
5000,3,50,491.0,1,1,3.430776596069336,6.948250770568848
5000,3,50,815.0,1,1,3.6574864387512207,6.754031419754028
5000,3,60,125.0,1,1,3.274582862854004,6.1934967041015625
5000,3,60,263.0,1,1,3.591893196105957,6.41308069229126
5000,3,60,491.0,1,1,3.5198516845703125,6.32083535194397
5000,3,60,815.0,1,1,3.683288812637329,6.654586553573608
5000,4,40,125.0,1,1,2.8659770488739014,5.300995826721191
5000,4,40,263.0,1,1,3.1211764812469482,5.712264776229858
5000,4,40,491.0,1,1,3.1561944484710693,6.254545211791992
5000,4,40,815.0,1,1,3.2206735610961914,5.9090540409088135
5000,4,50,125.0,1,1,3.0417020320892334,5.628585577011108
5000,4,50,263.0,1,1,3.251736640930176,5.978212356567383
5000,4,50,491.0,1,1,3.049189805984497,5.903003931045532
5000,4,50,815.0,1,1,3.4466001987457275,5.571677923202515
5000,4,60,125.0,1,1,3.196619749069214,5.905019521713257
5000,4,60,263.0,1,1,3.1133692264556885,5.885240316390991
5000,4,60,491.0,1,1,3.183053493499756,6.645307779312134
5000,4,60,815.0,1,1,3.643872022628784,6.388948917388916
5000,5,40,125.0,1,1,2.809683084487915,5.367894649505615
5000,5,40,263.0,1,1,3.0933730602264404,5.568634986877441
5000,5,40,491.0,1,1,2.862245798110962,5.7607057094573975
5000,5,40,815.0,1,1,2.992175340652466,5.839854955673218
5000,5,50,125.0,1,1,2.73301362991333,5.400388717651367
5000,5,50,263.0,1,1,3.2022087574005127,5.740688800811768
5000,5,50,491.0,1,1,3.22228741645813,5.7045018672943115
5000,5,50,815.0,1,1,3.098924398422241,6.469877481460571
5000,5,60,125.0,1,1,2.9334464073181152,5.555734872817993
5000,5,60,263.0,1,1,3.2374136447906494,5.845749139785767
5000,5,60,491.0,1,1,3.090160608291626,6.034423828125
5000,5,60,815.0,1,1,3.2810847759246826,6.251709699630737
7000,2,40,125.0,1,1,4.456008672714233,7.2014830112457275
7000,2,40,263.0,1,1,4.4870312213897705,7.634387493133545
7000,2,40,491.0,1,1,4.045889616012573,7.614646911621094
7000,2,40,815.0,1,1,4.686122417449951,7.937420606613159
7000,2,50,125.0,1,1,4.684887647628784,7.179082632064819
7000,2,50,263.0,1,1,4.858483552932739,7.617017030715942
7000,2,50,491.0,1,1,4.90603494644165,7.547452211380005
7000,2,50,815.0,1,1,4.85485577583313,7.749396562576294
7000,2,60,125.0,1,1,3.892245054244995,7.075719118118286
7000,2,60,263.0,1,1,4.522724151611328,7.7344114780426025
7000,2,60,491.0,1,1,4.651897668838501,8.062453508377075
7000,2,60,815.0,1,1,4.345399618148804,7.721017360687256
7000,3,40,125.0,1,1,3.0124542713165283,5.729967832565308
7000,3,40,263.0,1,1,3.4563920497894287,6.256307363510132
7000,3,40,491.0,1,1,3.569202423095703,6.722161531448364
7000,3,40,815.0,1,1,3.681769609451294,6.627896308898926
7000,3,50,125.0,1,1,3.337374210357666,5.7731311321258545
7000,3,50,263.0,1,1,3.384902000427246,6.432513952255249
7000,3,50,491.0,1,1,3.4729714393615723,6.515411615371704
7000,3,50,815.0,1,1,3.6257002353668213,6.714130401611328
7000,3,60,125.0,1,1,3.316887855529785,5.917615175247192
7000,3,60,263.0,1,1,3.685535192489624,6.6672258377075195
7000,3,60,491.0,1,1,3.4155642986297607,6.9403300285339355
7000,3,60,815.0,1,1,3.428359031677246,6.764794588088989
7000,4,40,125.0,1,1,2.78039813041687,5.553299903869629
7000,4,40,263.0,1,1,3.218292236328125,5.887429714202881
7000,4,40,491.0,1,1,3.0872883796691895,6.214540719985962
7000,4,40,815.0,1,1,3.2124335765838623,5.752061128616333
7000,4,50,125.0,1,1,2.801600456237793,5.528294801712036
7000,4,50,263.0,1,1,3.336601495742798,5.994869232177734
7000,4,50,491.0,1,1,3.367488384246826,6.510987997055054
7000,4,50,815.0,1,1,3.407499074935913,5.791736125946045
7000,4,60,125.0,1,1,2.958282232284546,5.94909143447876
7000,4,60,263.0,1,1,3.294438362121582,5.859281778335571
7000,4,60,491.0,1,1,3.2221076488494873,6.3119285106658936
7000,4,60,815.0,1,1,3.4980459213256836,6.421189308166504
7000,5,40,125.0,1,1,2.8187689781188965,5.337302923202515
7000,5,40,263.0,1,1,3.132214307785034,5.495651960372925
7000,5,40,491.0,1,1,3.1154627799987793,5.973654747009277
7000,5,40,815.0,1,1,2.963468074798584,6.142282962799072
7000,5,50,125.0,1,1,2.8015027046203613,5.632767915725708
7000,5,50,263.0,1,1,3.195657253265381,5.571524620056152
7000,5,50,491.0,1,1,3.09898042678833,5.539320707321167
7000,5,50,815.0,1,1,3.0224835872650146,6.046335697174072
7000,5,60,125.0,1,1,3.039686679840088,5.464951276779175
7000,5,60,263.0,1,1,3.217789649963379,5.9228644371032715
7000,5,60,491.0,1,1,3.2160911560058594,5.933788061141968
7000,5,60,815.0,1,1,3.2856547832489014,5.7708587646484375
9000,2,40,125.0,1,1,3.8060195446014404,6.73047947883606
9000,2,40,263.0,1,1,4.244647026062012,6.953091144561768
9000,2,40,491.0,1,1,4.302749872207642,7.392333030700684
9000,2,40,815.0,1,1,4.529120206832886,7.829122543334961
9000,2,50,125.0,1,1,4.532535552978516,7.1502766609191895
9000,2,50,263.0,1,1,4.684563398361206,7.327261209487915
9000,2,50,491.0,1,1,4.558115005493164,7.5536274909973145
9000,2,50,815.0,1,1,4.7355005741119385,8.360252141952515
9000,2,60,125.0,1,1,4.508003234863281,7.300907611846924
9000,2,60,263.0,1,1,4.409406661987305,7.864729642868042
9000,2,60,491.0,1,1,4.700779676437378,7.864814043045044
9000,2,60,815.0,1,1,4.781611919403076,8.259419679641724
9000,3,40,125.0,1,1,3.2558670043945312,6.118228197097778
9000,3,40,263.0,1,1,3.281586170196533,5.95592999458313
9000,3,40,491.0,1,1,3.4560866355895996,6.42299485206604
9000,3,40,815.0,1,1,3.6661508083343506,6.690919637680054
9000,3,50,125.0,1,1,3.2563838958740234,6.18191123008728
9000,3,50,263.0,1,1,3.6817641258239746,6.558688402175903
9000,3,50,491.0,1,1,3.5065596103668213,6.432041168212891
9000,3,50,815.0,1,1,3.5204310417175293,6.8569440841674805
9000,3,60,125.0,1,1,3.56980037689209,5.925222873687744
9000,3,60,263.0,1,1,3.7754156589508057,6.652051687240601
9000,3,60,491.0,1,1,3.687122106552124,6.822499513626099
9000,3,60,815.0,1,1,3.5742247104644775,6.625714540481567
9000,4,40,125.0,1,1,2.8949356079101562,5.546472787857056
9000,4,40,263.0,1,1,3.1059672832489014,5.814979791641235
9000,4,40,491.0,1,1,3.3044545650482178,6.196703910827637
9000,4,40,815.0,1,1,3.0475752353668213,6.370642900466919
9000,4,50,125.0,1,1,3.2713305950164795,5.627307653427124
9000,4,50,263.0,1,1,3.395817279815674,5.997389793395996
9000,4,50,491.0,1,1,2.9543814659118652,6.102206707000732
9000,4,50,815.0,1,1,3.428642988204956,6.356879234313965
9000,4,60,125.0,1,1,3.0640170574188232,5.809258937835693
9000,4,60,263.0,1,1,3.454160213470459,6.3631298542022705
9000,4,60,491.0,1,1,3.245415687561035,6.616278171539307
9000,4,60,815.0,1,1,3.5096495151519775,6.528057098388672
9000,5,40,125.0,1,1,2.855808734893799,5.300243377685547
9000,5,40,263.0,1,1,3.177316188812256,5.603810787200928
9000,5,40,491.0,1,1,3.113234519958496,5.585119247436523
9000,5,40,815.0,1,1,2.9128763675689697,6.038639307022095
9000,5,50,125.0,1,1,2.882375717163086,5.308098793029785
9000,5,50,263.0,1,1,3.1009104251861572,5.7828333377838135
9000,5,50,491.0,1,1,3.2229411602020264,5.668332576751709
9000,5,50,815.0,1,1,3.116337776184082,5.750089168548584
9000,5,60,125.0,1,1,2.8520660400390625,5.557772874832153
9000,5,60,263.0,1,1,3.1268765926361084,5.9039528369903564
9000,5,60,491.0,1,1,3.3811707496643066,6.082879304885864
9000,5,60,815.0,1,1,2.9976894855499268,6.434063673019409
11000,2,40,125.0,1,1,4.425984144210815,6.921146869659424
11000,2,40,263.0,1,1,4.638647794723511,7.34557580947876
11000,2,40,491.0,1,1,4.6192052364349365,8.140363931655884
11000,2,40,815.0,1,1,3.981649875640869,7.972568511962891
11000,2,50,125.0,1,1,3.9360909461975098,6.5959107875823975
11000,2,50,263.0,1,1,4.192168712615967,7.650059938430786
11000,2,50,491.0,1,1,4.702789783477783,7.933452367782593
11000,2,50,815.0,1,1,4.904519081115723,8.002303838729858
11000,2,60,125.0,1,1,3.8023319244384766,6.912970542907715
11000,2,60,263.0,1,1,4.737558841705322,7.426138639450073
11000,2,60,491.0,1,1,4.634359836578369,8.456020593643188
11000,2,60,815.0,1,1,4.697566270828247,7.943166017532349
11000,3,40,125.0,1,1,3.2144715785980225,5.774342775344849
11000,3,40,263.0,1,1,3.4324934482574463,6.158376693725586
11000,3,40,491.0,1,1,3.4657087326049805,6.691412448883057
11000,3,40,815.0,1,1,3.5436739921569824,6.845278263092041
11000,3,50,125.0,1,1,3.2119035720825195,5.626958608627319
11000,3,50,263.0,1,1,3.6864209175109863,6.4796037673950195
11000,3,50,491.0,1,1,3.416546106338501,6.41996431350708
11000,3,50,815.0,1,1,3.334338665008545,6.878913640975952
11000,3,60,125.0,1,1,3.173309803009033,5.847959518432617
11000,3,60,263.0,1,1,3.822202205657959,6.4204230308532715
11000,3,60,491.0,1,1,3.441148281097412,6.887324094772339
11000,3,60,815.0,1,1,3.471383810043335,6.684115648269653
11000,4,40,125.0,1,1,2.845458984375,5.585134029388428
11000,4,40,263.0,1,1,3.133531093597412,5.738529920578003
11000,4,40,491.0,1,1,3.078742504119873,6.055488586425781
11000,4,40,815.0,1,1,3.3202922344207764,5.9327614307403564
11000,4,50,125.0,1,1,2.9963741302490234,5.514979362487793
11000,4,50,263.0,1,1,3.3079326152801514,5.802609205245972
11000,4,50,491.0,1,1,3.1377947330474854,6.583120107650757
11000,4,50,815.0,1,1,3.384310483932495,6.341792821884155
11000,4,60,125.0,1,1,3.0299341678619385,5.58397912979126
11000,4,60,263.0,1,1,3.318967342376709,5.914020538330078
11000,4,60,491.0,1,1,3.3811328411102295,6.17839241027832
11000,4,60,815.0,1,1,3.35434627532959,6.824533224105835
11000,5,40,125.0,1,1,2.885154962539673,5.284212112426758
11000,5,40,263.0,1,1,3.0088648796081543,5.511781692504883
11000,5,40,491.0,1,1,2.9897825717926025,5.693974494934082
11000,5,40,815.0,1,1,3.124821424484253,5.956631898880005
11000,5,50,125.0,1,1,2.8508665561676025,5.377564907073975
11000,5,50,263.0,1,1,3.103242874145508,5.630178451538086
11000,5,50,491.0,1,1,3.0120341777801514,6.294561386108398
11000,5,50,815.0,1,1,3.1122586727142334,5.573770999908447
11000,5,60,125.0,1,1,2.9468300342559814,5.506808757781982
11000,5,60,263.0,1,1,3.3258473873138428,6.016827583312988
11000,5,60,491.0,1,1,3.0436978340148926,6.206438779830933
11000,5,60,815.0,1,1,3.150526523590088,6.495010137557983
3000,2,40,125.0,1,1,4.246760845184326,7.050273656845093
3000,2,40,263.0,1,1,4.247040748596191,7.853703022003174
3000,2,40,491.0,1,1,4.798074722290039,8.233793497085571
3000,2,40,815.0,1,1,4.67310643196106,8.047780752182007
3000,2,50,125.0,1,1,4.111245632171631,7.291506290435791
3000,2,50,263.0,1,1,4.86006498336792,7.433755874633789
3000,2,50,491.0,1,1,4.815709590911865,8.02073359489441
3000,2,50,815.0,1,1,4.380164384841919,7.851824760437012
3000,2,60,125.0,1,1,4.197502851486206,6.735916614532471
3000,2,60,263.0,1,1,4.7031168937683105,7.6940693855285645
3000,2,60,491.0,1,1,4.780894041061401,7.854933738708496
3000,2,60,815.0,1,1,4.301752805709839,8.314063310623169
3000,3,40,125.0,1,1,3.37015700340271,5.773027420043945
3000,3,40,263.0,1,1,3.4347050189971924,6.3375818729400635
3000,3,40,491.0,1,1,3.444422960281372,6.474625587463379
3000,3,40,815.0,1,1,3.26257061958313,6.690021276473999
3000,3,50,125.0,1,1,3.4263546466827393,6.131478309631348
3000,3,50,263.0,1,1,3.464445114135742,6.192123651504517
3000,3,50,491.0,1,1,3.299820899963379,6.920657157897949
3000,3,50,815.0,1,1,3.838006019592285,6.815990447998047
3000,3,60,125.0,1,1,3.3222737312316895,6.40285325050354
3000,3,60,263.0,1,1,3.9302732944488525,6.5521628856658936
3000,3,60,491.0,1,1,3.598390817642212,7.080432176589966
3000,3,60,815.0,1,1,3.4976069927215576,6.523691415786743
3000,4,40,125.0,1,1,2.786578893661499,5.455035209655762
3000,4,40,263.0,1,1,3.1200649738311768,5.709012985229492
3000,4,40,491.0,1,1,3.0178799629211426,6.198467254638672
3000,4,40,815.0,1,1,3.3661985397338867,5.763197183609009
3000,4,50,125.0,1,1,3.0007195472717285,5.7728540897369385
3000,4,50,263.0,1,1,3.2640583515167236,6.023299932479858
3000,4,50,491.0,1,1,3.361144781112671,6.081913948059082
3000,4,50,815.0,1,1,3.195899248123169,6.558672666549683
3000,4,60,125.0,1,1,3.1490108966827393,5.9082536697387695
3000,4,60,263.0,1,1,3.298309326171875,5.982654571533203
3000,4,60,491.0,1,1,3.3521859645843506,6.304413557052612
3000,4,60,815.0,1,1,3.4243743419647217,6.871803283691406
3000,5,40,125.0,1,1,2.807081699371338,5.287427663803101
3000,5,40,263.0,1,1,3.1553969383239746,5.626325845718384
3000,5,40,491.0,1,1,2.999397039413452,5.646887540817261
3000,5,40,815.0,1,1,3.0532069206237793,5.847330093383789
3000,5,50,125.0,1,1,2.787691831588745,5.531190395355225
3000,5,50,263.0,1,1,3.1836094856262207,5.753180980682373
3000,5,50,491.0,1,1,2.9390029907226562,5.962617635726929
3000,5,50,815.0,1,1,3.1303555965423584,5.870124578475952
3000,5,60,125.0,1,1,2.8764595985412598,5.788851022720337
3000,5,60,263.0,1,1,3.2401552200317383,5.878404378890991
3000,5,60,491.0,1,1,3.2194952964782715,5.477513074874878
3000,5,60,815.0,1,1,3.17043137550354,5.7812089920043945
5000,2,40,125.0,1,1,4.492603778839111,6.942041635513306
5000,2,40,263.0,1,1,4.818072319030762,7.279410362243652
5000,2,40,491.0,1,1,4.804003477096558,8.000350713729858
5000,2,40,815.0,1,1,4.497753858566284,8.326984882354736
5000,2,50,125.0,1,1,4.144617795944214,6.955979108810425
5000,2,50,263.0,1,1,4.400555610656738,7.690140247344971
5000,2,50,491.0,1,1,4.8437604904174805,8.69837737083435
5000,2,50,815.0,1,1,4.760117769241333,8.21037244796753
5000,2,60,125.0,1,1,4.210968255996704,7.097469806671143
5000,2,60,263.0,1,1,4.345874786376953,7.485880374908447
5000,2,60,491.0,1,1,4.208637714385986,8.069812297821045
5000,2,60,815.0,1,1,4.2278594970703125,7.983016729354858
5000,3,40,125.0,1,1,3.3003339767456055,6.0194411277771
5000,3,40,263.0,1,1,3.2078917026519775,5.9897496700286865
5000,3,40,491.0,1,1,3.3165836334228516,5.916784763336182
5000,3,40,815.0,1,1,3.5413548946380615,6.430408954620361
5000,3,50,125.0,1,1,2.705728530883789,6.012999057769775
5000,3,50,263.0,1,1,3.6030116081237793,6.273602724075317
5000,3,50,491.0,1,1,3.4305152893066406,7.0133233070373535
5000,3,50,815.0,1,1,3.159656047821045,6.694713592529297
5000,3,60,125.0,1,1,3.2645020484924316,6.026231288909912
5000,3,60,263.0,1,1,3.5494842529296875,6.375187635421753
5000,3,60,491.0,1,1,3.7533514499664307,6.916321039199829
5000,3,60,815.0,1,1,3.7010338306427,6.644963264465332
5000,4,40,125.0,1,1,2.87676739692688,5.612008571624756
5000,4,40,263.0,1,1,3.2953076362609863,5.878177881240845
5000,4,40,491.0,1,1,3.2076892852783203,5.732929944992065
5000,4,40,815.0,1,1,3.177976131439209,5.877250671386719
5000,4,50,125.0,1,1,2.906270742416382,5.769988775253296
5000,4,50,263.0,1,1,3.2095413208007812,5.866943836212158
5000,4,50,491.0,1,1,3.1841869354248047,6.364940166473389
5000,4,50,815.0,1,1,3.384518623352051,5.80718207359314
5000,4,60,125.0,1,1,2.950258255004883,5.79610800743103
5000,4,60,263.0,1,1,3.4581692218780518,5.753957033157349
5000,4,60,491.0,1,1,3.3099684715270996,6.673602819442749
5000,4,60,815.0,1,1,3.479823589324951,6.5472941398620605
5000,5,40,125.0,1,1,2.8042287826538086,5.327122449874878
5000,5,40,263.0,1,1,2.9986045360565186,5.513388633728027
5000,5,40,491.0,1,1,3.1872456073760986,5.300970792770386
5000,5,40,815.0,1,1,2.844653844833374,5.99369740486145
5000,5,50,125.0,1,1,2.899545907974243,5.40006160736084
5000,5,50,263.0,1,1,3.2741730213165283,5.658522844314575
5000,5,50,491.0,1,1,3.036597490310669,6.112933874130249
5000,5,50,815.0,1,1,3.20794939994812,5.687030792236328
5000,5,60,125.0,1,1,2.900038957595825,5.717056512832642
5000,5,60,263.0,1,1,3.221738576889038,5.941061019897461
5000,5,60,491.0,1,1,3.1229677200317383,6.077877044677734
5000,5,60,815.0,1,1,3.3835649490356445,5.758903741836548
7000,2,40,125.0,1,1,4.248047351837158,7.002361297607422
7000,2,40,263.0,1,1,4.705302953720093,7.739754915237427
7000,2,40,491.0,1,1,4.553461074829102,7.115819454193115
7000,2,40,815.0,1,1,4.431746006011963,7.669897079467773
7000,2,50,125.0,1,1,4.395957946777344,6.939553737640381
7000,2,50,263.0,1,1,4.469159841537476,6.989437580108643
7000,2,50,491.0,1,1,4.845411062240601,7.795674562454224
7000,2,50,815.0,1,1,4.382342338562012,7.8267433643341064
7000,2,60,125.0,1,1,4.7300498485565186,7.1525256633758545
7000,2,60,263.0,1,1,4.734776496887207,8.001083374023438
7000,2,60,491.0,1,1,4.482214689254761,7.691502571105957
7000,2,60,815.0,1,1,4.57336163520813,7.813437461853027
7000,3,40,125.0,1,1,3.109804391860962,5.716237783432007
7000,3,40,263.0,1,1,3.4795267581939697,6.155053377151489
7000,3,40,491.0,1,1,3.54654860496521,6.624610662460327
7000,3,40,815.0,1,1,3.6142637729644775,6.649387836456299
7000,3,50,125.0,1,1,3.2823593616485596,5.678001642227173
7000,3,50,263.0,1,1,3.6600100994110107,6.3454060554504395
7000,3,50,491.0,1,1,3.744414806365967,6.594155311584473
7000,3,50,815.0,1,1,3.6363978385925293,6.5648274421691895
7000,3,60,125.0,1,1,3.278202533721924,6.084470748901367
7000,3,60,263.0,1,1,3.724848985671997,6.187560319900513
7000,3,60,491.0,1,1,3.577580213546753,6.126393795013428
7000,3,60,815.0,1,1,3.328484058380127,6.587130546569824
7000,4,40,125.0,1,1,2.9479408264160156,5.37439489364624
7000,4,40,263.0,1,1,3.2433202266693115,5.810305833816528
7000,4,40,491.0,1,1,3.156708002090454,5.528432846069336
7000,4,40,815.0,1,1,3.037026882171631,5.878673076629639
7000,4,50,125.0,1,1,3.0090887546539307,5.656323194503784
7000,4,50,263.0,1,1,3.2508304119110107,5.850621700286865
7000,4,50,491.0,1,1,3.3124353885650635,6.259881019592285
7000,4,50,815.0,1,1,3.2812085151672363,5.74454665184021
7000,4,60,125.0,1,1,2.92219614982605,5.626467704772949
7000,4,60,263.0,1,1,3.404691457748413,6.040209054946899
7000,4,60,491.0,1,1,3.2223777770996094,6.680011034011841
7000,4,60,815.0,1,1,3.508371591567993,6.516262531280518
7000,5,40,125.0,1,1,2.682157039642334,5.468479633331299
7000,5,40,263.0,1,1,3.1062281131744385,5.675159454345703
7000,5,40,491.0,1,1,3.1187050342559814,5.6932289600372314
7000,5,40,815.0,1,1,2.8582334518432617,6.002181053161621
7000,5,50,125.0,1,1,2.715355396270752,5.545608043670654
7000,5,50,263.0,1,1,3.192918539047241,5.609074115753174
7000,5,50,491.0,1,1,3.005507707595825,6.204241037368774
7000,5,50,815.0,1,1,3.170675754547119,5.877003192901611
7000,5,60,125.0,1,1,3.016615390777588,5.6658244132995605
7000,5,60,263.0,1,1,3.304988145828247,5.909562110900879
7000,5,60,491.0,1,1,3.2986278533935547,6.169413805007935
7000,5,60,815.0,1,1,3.13481068611145,6.525447607040405
9000,2,40,125.0,1,1,4.1600470542907715,6.895435333251953
