ram,cores,workload_cpu,workload_gpu,users_yolo,users_mnet,time_yolo,time_mnet
6000,4,40,491.0,1,1,20.801024436950684,23.02011275291443
6000,4,40,491.0,1,2,3.1319375038146973,5.874814748764038
6000,4,40,491.0,1,3,3.165161371231079,6.0189104080200195
6000,4,40,491.0,1,4,3.2086727619171143,6.087104558944702
6000,4,40,491.0,1,5,2.999310255050659,6.665668964385986
6000,4,40,491.0,2,1,3.253915309906006,5.835418224334717
6000,4,40,491.0,2,2,3.127472162246704,6.118398666381836
6000,4,40,491.0,2,3,3.255873203277588,5.996182441711426
6000,4,40,491.0,2,4,3.238906145095825,6.171654939651489
6000,4,40,491.0,2,5,3.385706663131714,5.88257908821106
6000,4,40,491.0,3,1,3.23764967918396,6.003723382949829
6000,4,40,491.0,3,2,3.4797956943511963,6.190466403961182
6000,4,40,491.0,3,3,3.308868408203125,6.172412157058716
6000,4,40,491.0,3,4,3.4623970985412598,6.14607310295105
6000,4,40,491.0,3,5,3.29007625579834,6.036896228790283
6000,4,40,491.0,4,1,3.5850069522857666,6.236604928970337
6000,4,40,491.0,4,2,3.432640790939331,6.277174711227417
6000,4,40,491.0,4,3,3.6708717346191406,6.209779739379883
6000,4,40,491.0,4,4,3.4698407649993896,6.3999481201171875
6000,4,40,491.0,4,5,3.5419113636016846,6.2623207569122314
6000,4,40,491.0,5,1,3.586747407913208,6.2463319301605225
6000,4,40,491.0,5,2,3.743396043777466,6.119567155838013
6000,4,40,491.0,5,3,3.739069700241089,6.260227680206299
6000,4,40,491.0,5,4,3.5240211486816406,6.466168165206909
6000,4,40,491.0,5,5,3.650726556777954,6.3079164028167725
6000,4,40,491.0,1,1,2.968881607055664,6.027614593505859
6000,4,40,491.0,1,2,3.3744349479675293,6.1028008460998535
6000,4,40,491.0,1,3,3.0840446949005127,6.307915210723877
6000,4,40,491.0,1,4,3.2868266105651855,5.600381851196289
6000,4,40,491.0,1,5,3.061475992202759,6.081866264343262
6000,4,40,491.0,2,1,3.234984874725342,5.510415554046631
6000,4,40,491.0,2,2,3.3018150329589844,6.307915210723877
6000,4,40,491.0,2,3,3.4291741847991943,6.2989959716796875
6000,4,40,491.0,2,4,3.293680191040039,6.154374361038208
